artificial neural network	imagenet	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, 'b00df005dbe641681c52a0537c4cdbce210f8893': 2, '0504b0ffc07b20da32b5934966d0b3c6af06b63e': 2}
artificial neural network	convolutional neural network	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, '56c23edb6ad70080677fabf7f35bbfcaefd60d5d': 2}
artificial neural network	computer vision	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, 'b00df005dbe641681c52a0537c4cdbce210f8893': 2, '0504b0ffc07b20da32b5934966d0b3c6af06b63e': 2}
imagenet	convolutional neural network	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 2, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 2}
imagenet	computer vision	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 3, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 3, 'b00df005dbe641681c52a0537c4cdbce210f8893': 2, '0504b0ffc07b20da32b5934966d0b3c6af06b63e': 2}
convolutional neural network	computer vision	{'09040a522cfa8ad21e04dbabe4eef9001f893dfb': 2, '415647eaa76f04bd9e68b0a306146a7556c7fd33': 2, '8943d3b8b767bf25282d3f001ed3d5153cab290e': 2}
benchmark (computing)	artificial bee colony algorithm	{'1cd6265c579962eb90027f705797758a7bd02bbf': 2, '98eb3feb1b13e114cf30e00dfaf9a9b25da10a23': 2, '6b6a7c3d6742499f3add37cd5733db569688e837': 3}
benchmark (computing)	mathematical optimization	{'1cd6265c579962eb90027f705797758a7bd02bbf': 2, '98eb3feb1b13e114cf30e00dfaf9a9b25da10a23': 2, '6b6a7c3d6742499f3add37cd5733db569688e837': 3}
artificial bee colony algorithm	mathematical optimization	{'1cd6265c579962eb90027f705797758a7bd02bbf': 2, '98eb3feb1b13e114cf30e00dfaf9a9b25da10a23': 2, '6b6a7c3d6742499f3add37cd5733db569688e837': 3}
performance	compaq lte	{'cbeb8ca193636affa82a9ad6de76b5fbea787e27': 2}
convex function	iteration	{'efbe5fa530528b8dd28286b5899517d900c09af1': 2}
importance sampling	sampling (signal processing)	{'56da068a7f2f2027c1d51a1452d912d527d02398': 2}
binding proteins play	binding proteins	{'4b55736d19486a2a75f62f6efeedb4305c6f4c84': 2}
throughput	algorithm	{'50a1e39d33b40962096ccf645059c95af13fca47': 2}
artificial neural network	algorithm	{'5dc37355cb8ede943eba3b4b7ffe6df76b93af3e': 2, '61d974a4c174d52893b5ff9072757e250ada0b32': 2, 'cc73a9af88e68b596ccab8159af6779635cbff34': 2}
artificial neural network	machine learning	{'329f0b41eadc23cfbcd7fb35cdfcde4eef194665': 2}
algorithm	machine learning	{'9c3b13c6fc8bc1be91834304f32a42a5742aada0': 2, '329f0b41eadc23cfbcd7fb35cdfcde4eef194665': 2, 'ae1df1018a619963cd7fd8b986e67f213ce556e1': 2, '9655bb7283c4249606b4a726dd03771d69ee655e': 2, 'ada2981bf7afd74f4cf4cb759334b5d35fb62466': 2}
hamilton–jacobi–bellman equation	nonlinear system	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2}
hamilton–jacobi–bellman equation	system dynamics	{'85432384611064d11b5fd92f9ae699262024fb38': 2}
hamilton–jacobi–bellman equation	algorithm	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2}
hamilton–jacobi–bellman equation	reinforcement learning	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2}
hamilton–jacobi–bellman equation	mathematical optimization	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2}
hamilton–jacobi–bellman equation	optimization problem	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2}
maxima and minima	mathematical optimization	{'c53244ccbd1c116b10737c7cea46dccfaaf2fd3b': 2}
nonlinear system	simulation	{'2d511ad1699965b89a2039e8b92a83e41b7b7aa5': 4, 'fb70b086471cc861481e1d3f017f0fcbd2fe83c6': 2}
nonlinear system	system dynamics	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2}
nonlinear system	algorithm	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '5dc37355cb8ede943eba3b4b7ffe6df76b93af3e': 2, '61d974a4c174d52893b5ff9072757e250ada0b32': 2, 'cc73a9af88e68b596ccab8159af6779635cbff34': 2}
nonlinear system	reinforcement learning	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2}
nonlinear system	mathematical optimization	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2}
nonlinear system	optimization problem	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2}
simulation	algorithm	{'50a1e39d33b40962096ccf645059c95af13fca47': 2}
system dynamics	mathematical optimization	{'85432384611064d11b5fd92f9ae699262024fb38': 2}
system dynamics	optimization problem	{'85432384611064d11b5fd92f9ae699262024fb38': 2}
algorithm	reinforcement learning	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '5be8ead402be98a7ad6117cdb1fd1e920ea7b237': 2}
algorithm	mathematical optimization	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '1d5aa7f5342a0b38337ccd64936e7b802773c643': 2, '2565c40095b1e1c808b3a11ef566aac4472aba20': 2, 'a9a3183d98e5748a88f868f0822e6f6714dbc444': 2, '2c6d2bc9742564af40b1dd69038e2900597ebf5c': 2}
algorithm	optimization problem	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2}
reinforcement learning	mathematical optimization	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2}
reinforcement learning	optimization problem	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2}
mathematical optimization	optimization problem	{'3f8e3c9ea34de08ac1c14a9cb4f7681a338abe4b': 2, '85432384611064d11b5fd92f9ae699262024fb38': 2, '4f558859ab5805e3c86f2473627526066bca41fb': 2, '3de66a2317f3d577e02541d43ba989464cdf404c': 2, '6b6a7c3d6742499f3add37cd5733db569688e837': 3, 'ba2c616097a893c3b3b1a4e72e197a90f550bb40': 2, 'f943bf6a3c4fdaaeba8c4802ba4e1aabfc8679b4': 2, '656df02776c2ae397452963a2adace970a6ee9e2': 2}
activation function	neural networks	{'2bd4b2c6ad44fbcc12d2072d463713a3df8e74bb': 2, '76eddfeade1369f7f9e147ad8ae2fb6fc83e274d': 2, 'ecf7ddbfa0c7603a46b9dccb1c0adcf60d2dcc2b': 2}
energy consumption	greenhouse gas emissions	{'62ca3a0b9da4cb850058b9acd9f373c8f84eedb8': 2, '26cf89cc9bff1a67686f62a4a38cd9f94acc7577': 2}
procedural generation	high- and low-level	{'c581057b6f2b3ddd0af8bb120fe2b4bd8a8e269b': 2}
long short	term memory	{'538895329f4474c4a48123b742547a22bc98bf44': 2}
benchmark (computing)	experiment	{'b483c6f24e50abd5cc5ef83559e77812b64e6dc3': 2, 'dc6dd9d973b40b03444db1deb9de925defe394a4': 2}
artificial neural network	feature learning	{'329f0b41eadc23cfbcd7fb35cdfcde4eef194665': 2}
artificial neural network	supervised learning	{'56c23edb6ad70080677fabf7f35bbfcaefd60d5d': 2}
feature learning	algorithm	{'ae1df1018a619963cd7fd8b986e67f213ce556e1': 2, '9655bb7283c4249606b4a726dd03771d69ee655e': 2}
supervised learning	convolutional neural network	{'56c23edb6ad70080677fabf7f35bbfcaefd60d5d': 2}
supervised learning	algorithm	{'635c15c71006d96486cf6be871c860e1b59f8514': 2}
